+Requests: 100
req0;z10;3;715;427;car8,car9,car6,car7,car4,car5,car2,car3,car0,car10,car11,car12,car13;430;85
req1;z0;2;805;232;car2,car0,car1,car10,car12,car13,car8,car9,car6,car7,car4,car5;230;45
req2;z8;4;608;245;car2,car3,car0,car10,car13,car6;250;50
req3;z6;1;633;377;car1,car13,car9,car6;380;75
req4;z9;0;666;297;car3,car10,car11,car12,car13,car8,car5;300;60
req5;z19;4;591;288;car2,car3,car0,car1,car11,car12,car13,car8,car9,car7,car4,car5;290;60
req6;z5;0;724;436;car3,car0,car10,car12,car8,car9,car4;440;90
req7;z13;4;851;322;car13,car5;320;65
req8;z7;4;652;287;car2,car0,car11,car9;290;60
req9;z16;1;575;368;car0,car10,car11,car12,car8;370;75
req10;z20;4;803;275;car2,car3,car11,car12,car8,car9,car6,car4,car5;280;55
req11;z9;1;751;276;car3,car0,car10,car8;280;55
req12;z17;3;614;425;car2,car8,car6,car7;430;85
req13;z8;3;484;454;car0,car11,car9,car6,car4;450;90
req14;z1;1;594;448;car0,car11,car13;450;90
req15;z8;4;579;366;car2,car9;370;75
req16;z22;3;840;338;car2,car3,car10,car11,car12,car8,car7,car4,car5;340;70
req17;z20;1;603;295;car2,car3,car11,car12,car13,car8,car6;300;60
req18;z4;1;538;433;car0,car11,car12,car8,car9;430;85
req19;z16;3;688;244;car2,car1,car13;240;50
req20;z6;4;965;190;car3,car10,car11,car9;190;40
req21;z19;3;539;275;car6,car7,car5;280;55
req22;z6;1;970;203;car2,car3,car0,car1,car10,car11,car13,car8,car9,car6,car7,car5;200;40
req23;z17;3;919;250;car2,car3,car0,car1,car11,car13,car8,car9,car6,car7,car4,car5;250;50
req24;z6;1;509;436;car2,car3,car0,car10,car1,car11,car12,car13,car9,car6,car7,car5;440;90
req25;z4;1;672;313;car3,car0,car10,car1,car11,car12,car13,car9,car6,car7,car4,car5;310;60
req26;z4;3;529;473;car2,car0,car1,car8,car9,car6,car7,car4;470;95
req27;z5;0;677;458;car0,car9,car7,car4;460;90
req28;z3;4;517;377;car2,car8,car9,car4;380;75
req29;z22;2;743;424;car0,car11;420;85
req30;z17;0;511;402;car8,car9,car6,car7,car4,car5,car2,car3,car0,car1,car11,car12,car13;400;80
req31;z21;0;646;474;car2,car3,car0,car1,car11,car12,car13,car8,car9,car6,car7,car5;470;95
req32;z17;1;803;252;car2,car0,car11,car12,car4,car5;250;50
req33;z17;1;499;210;car3,car0,car10,car1,car11,car12,car13,car9,car6,car7,car4,car5;210;40
req34;z5;1;632;208;car1;210;40
req35;z2;0;719;208;car8,car6,car7,car4,car5,car2,car3,car0,car1,car10,car11,car12,car13;210;40
req36;z16;1;741;268;car10,car8,car7;270;55
req37;z21;0;831;217;car2,car3,car0,car10,car12,car9,car6,car7,car4;220;45
req38;z0;1;539;450;car7;450;90
req39;z8;3;555;447;car10,car13,car7;450;90
req40;z9;2;770;361;car2,car3,car0,car10,car11,car8,car9,car6,car7,car4,car5;360;70
req41;z15;0;726;200;car3,car0,car1,car11,car12,car13,car8,car9,car6,car7,car5;200;40
req42;z21;1;715;419;car2,car3,car0,car10,car11,car12,car13,car8,car6,car7,car4;420;85
req43;z23;3;856;220;car11,car8,car9,car6,car5;220;45
req44;z10;2;954;209;car2,car3,car0,car11,car12,car13,car6,car4,car5;210;40
req45;z12;0;624;383;car1,car11,car4;380;75
req46;z10;2;683;256;car2,car3,car0,car10,car12,car9,car6,car4;260;50
req47;z24;3;537;249;car2,car0,car11,car6,car7,car5;250;50
req48;z0;0;780;272;car8,car9,car7,car4,car5,car2,car3,car0,car1,car10,car11,car12,car13;270;55
req49;z19;4;610;329;car2,car3,car0,car10,car1,car11,car13,car8,car6,car7,car4,car5;330;65
req50;z2;4;606;396;car2,car3,car10,car1,car12,car9,car6,car7,car4,car5;400;80
req51;z5;2;915;243;car2,car0,car1,car11,car8,car6,car7,car4;240;50
req52;z11;4;813;378;car12,car7,car5;380;75
req53;z2;1;613;198;car1,car11,car13,car8,car6,car4,car5;200;40
req54;z16;1;905;233;car3,car1,car11,car12,car8,car7,car5;230;45
req55;z16;2;848;186;car2,car3,car0,car1,car10,car11,car12,car8,car9,car6,car7,car4;190;40
req56;z1;3;804;305;car3,car1,car10,car11,car12,car13,car8,car5;310;60
req57;z4;1;693;477;car2,car3,car0,car1,car11,car13,car8,car9,car6,car4,car5;480;95
req58;z17;1;676;427;car3,car10,car4,car5;430;85
req59;z0;2;483;411;car2,car3,car10,car6,car7,car4;410;80
req60;z5;4;605;470;car3,car10,car11;470;95
req61;z18;2;638;406;car2,car3,car0,car10,car11,car12,car9,car6,car4,car5;410;80
req62;z5;2;801;235;car0,car4;240;50
req63;z18;3;618;270;car13;270;55
req64;z12;1;506;274;car2,car0,car1,car10,car11,car12,car13,car9,car6,car7,car5;270;55
req65;z18;2;660;288;car3,car11,car13,car8,car6,car4;290;60
req66;z3;2;549;297;car3,car1,car10,car12,car9;300;60
req67;z23;3;672;347;car0,car11,car7,car4;350;70
req68;z19;4;732;434;car2,car0,car1,car11,car12,car6,car4;430;85
req69;z5;2;671;180;car2,car10,car11,car12,car13,car8,car9,car6,car7;180;35
req70;z20;3;499;330;car3,car0,car10,car12,car13,car8,car6,car7,car4,car5;330;65
req71;z11;1;822;370;car3,car0,car10,car11,car13,car8,car9,car6,car7,car5;370;75
req72;z20;2;807;292;car2,car3,car0,car10,car1,car11,car12,car6,car7,car4,car5;290;60
req73;z9;0;687;212;car3,car10,car1,car12,car9,car6,car4;210;40
req74;z16;1;700;372;car3,car10,car1,car12,car13,car8,car9,car7,car4,car5;370;75
req75;z8;1;787;257;car3,car1,car11,car12,car13,car9,car6,car7,car5;260;50
req76;z6;2;577;376;car2,car3,car0,car1,car10,car11,car7;380;75
req77;z6;4;700;223;car13,car7,car4;220;45
req78;z3;2;485;434;car3,car0,car10,car1,car11,car9,car6,car4,car5;430;85
req79;z2;0;632;313;car3,car1,car10,car12,car8,car9,car5;310;60
req80;z15;2;984;188;car10,car11,car13,car8,car9,car5;190;40
req81;z22;2;780;380;car9,car7,car4,car5;380;75
req82;z2;1;709;241;car8,car9,car6,car7,car4,car5,car2,car3,car0,car10,car1,car12,car13;240;50
req83;z23;1;842;292;car2,car3,car0,car10,car1,car11,car12,car13,car9,car7,car4,car5;290;60
req84;z16;0;560;422;car2,car0,car8,car9,car6;420;85
req85;z15;3;642;187;car2,car3,car1,car10,car11,car9,car7,car4,car5;190;40
req86;z24;0;659;280;car2,car10,car11,car12,car9,car5;280;55
req87;z11;4;557;210;car3,car11,car13,car9,car4;210;40
req88;z0;4;717;245;car3,car0,car10,car1,car11,car12,car8,car6,car7;250;50
req89;z7;1;657;186;car2,car3,car0,car10,car1,car11,car6,car5;190;40
req90;z15;0;660;334;car2,car0,car1,car13,car9,car7;330;65
req91;z21;4;638;457;car2,car3,car6,car4;460;90
req92;z3;3;612;458;car2,car3,car10,car11,car13,car8,car9,car6,car4;460;90
req93;z0;4;519;394;car8;390;80
req94;z14;3;520;375;car0,car10,car1,car11,car12,car13,car8,car9,car6,car7,car5;380;75
req95;z4;3;490;391;car3,car0,car1,car11,car8,car9,car6,car7;390;80
req96;z9;2;649;436;car2,car12;440;90
req97;z19;1;708;402;car3,car0,car1,car8,car9,car6,car7,car4,car5;400;80
req98;z20;2;670;466;car8,car9,car6,car7,car4,car5,car3,car0,car1,car10,car11,car12,car13;470;95
req99;z10;4;639;368;car7,car4;370;75
+Zones: 25
z0;z1,z5,z6
z1;z0,z2,z6,z5,z7
z2;z1,z3,z7,z6,z8
z3;z2,z4,z8,z7,z9
z4;z3,z9,z8
z5;z6,z0,z1,z10,z11
z6;z5,z7,z1,z0,z2,z11,z10,z12
z7;z6,z8,z2,z1,z3,z12,z11,z13
z8;z7,z9,z3,z2,z4,z13,z12,z14
z9;z8,z4,z3,z14,z13
z10;z11,z5,z6,z15,z16
z11;z10,z12,z6,z5,z7,z16,z15,z17
z12;z11,z13,z7,z6,z8,z17,z16,z18
z13;z12,z14,z8,z7,z9,z18,z17,z19
z14;z13,z9,z8,z19,z18
z15;z16,z10,z11,z20,z21
z16;z15,z17,z11,z10,z12,z21,z20,z22
z17;z16,z18,z12,z11,z13,z22,z21,z23
z18;z17,z19,z13,z12,z14,z23,z22,z24
z19;z18,z14,z13,z24,z23
z20;z21,z15,z16
z21;z20,z22,z16,z15,z17
z22;z21,z23,z17,z16,z18
z23;z22,z24,z18,z17,z19
z24;z23,z19,z18
+Vehicles: 14
car0
car1
car2
car3
car4
car5
car6
car7
car8
car9
car10
car11
car12
car13
+Days: 5
